INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
2175,0,0,0,60,2,16,112979.621764037,Yes,0,z_No,M,Bachelors,z_Blue Collar,13.8019361466909,Commercial,27780,6,Minivan,yes,0,0,No,1,1,Highly Urban/ Urban
2177,0,0,0,47,0,14,71660.2219586686,No,222417.436131691,Yes,z_F,Masters,Manager,21.8972050456577,Private,13610,1,Minivan,no,0,0,No,0,18,Highly Urban/ Urban
2178,0,0,0,52,0,12,125624.746231718,No,313726.775479835,Yes,z_F,Bachelors,Manager,15.2441707117746,Private,20120,1,Minivan,no,0,0,No,4,10,Highly Urban/ Urban
2179,0,0,0,36,0,11, ,No,0,z_No,M,z_High School,z_Blue Collar,48.3578958869253,Commercial,18700,3,Van,yes,0,0,No,3,6,Highly Urban/ Urban
2180,0,0,0,46,0,7,43197.4710149955,No,0,z_No,M,z_High School,Manager,36.1180718473008,Private,14620,11,Minivan,no,0,0,No,0,7,Highly Urban/ Urban
2181,0,0,0,43,0,11,26035.7593545804,No,140261.83434331,z_No,z_F,z_High School,Clerical,51.786762121119,Private,8400,10,z_SUV,no,0,0,No,1,1,z_Highly Rural/ Rural
2183,1,3369,1,44,1,9,20638.3334911133,Yes,0,z_No,z_F,<High School,Clerical,19.3596904386788,Private,3560,6,z_SUV,no,0,0,No,0,7,Highly Urban/ Urban
2184,0,0,0,60,0,9,38504.004494846,No,0,z_No,z_F,Bachelors,Professional,49.3800734809763,Private,8690,9,z_SUV,no,0,0,No,3,9,Highly Urban/ Urban
2185,0,0,0,54,0,15,52027.2978284309,No,217276.987063347,Yes,M,<High School,z_Blue Collar,31.3506238362741,Commercial,6900,7,Pickup,no,0,0,No,0,4,z_Highly Rural/ Rural
2186,1,5816.4501508188,0,39,2,7,9967.60877463672,Yes,0,z_No,z_F,Bachelors,Student,43.8466096479691,Private,5500,4,z_SUV,no,0,0,No,4,10,z_Highly Rural/ Rural
2187,0,0,0,46,0,11,35214.3072338787,No,139244.42657002,Yes,M,Bachelors,Clerical,35.0254446858391,Private,12230,7,Pickup,yes,0,0,No,0,9,z_Highly Rural/ Rural
2188,0,0,0,48,0,9,88552.285391357,No,0,z_No,M,Bachelors,Manager,15.611649533089,Private,15160,1,Minivan,no,0,0,No,1,10,Highly Urban/ Urban
2190,0,0,1,40,1,9, ,No,165032.432358846,Yes,M,z_High School,Clerical,11.4125277481312,Private,9060,7,Pickup,yes,36486,2,Yes,6,1,Highly Urban/ Urban
2192,0,0,1,45,2,0,0,Yes,0,z_No,M,Bachelors,Student,65.6324844403423,Commercial,24070,10,Panel Truck,no,0,0,No,1, ,z_Highly Rural/ Rural
2193,0,0,0,50,0, ,29139.4074830203,No,176943.650953624,Yes,M,Bachelors,Clerical,24.6558469408827,Private,9410,12,Pickup,yes,0,0,No,0,1,z_Highly Rural/ Rural
2194,0,0,0,46,0,15,181917.732168127,No,411686.776469093,Yes,z_F,PhD,Doctor,41.8338942271361,Private,28030,4,Minivan,no,0,0,No,0,16,Highly Urban/ Urban
2195,0,0,0,29,2,12,59254.0276481218,No, ,Yes,M,Bachelors,Professional,49.941490583294,Commercial,10130,1,Pickup,no,6399,1,No,5,4,Highly Urban/ Urban
2196,0,0,0,46,0,5,75983.4942773169,No,252802.414840045,Yes,M,Masters, ,21.4414809176049,Commercial,17510,6,Van,no,30343,1,Yes,5,14,Highly Urban/ Urban
2198,0,0,0,42,2,11,75856.2300995513,Yes,273638.288097751,z_No,M,Bachelors,z_Blue Collar,44.3723861607836,Commercial,14900,4,Minivan,yes,0,0,No,0,13,z_Highly Rural/ Rural
2199,0,0,0,46,0,8,56387.8861997161,No,204485.614329135,Yes,M,z_High School,z_Blue Collar,35.3953002299424,Private,7140,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
2200,0,0,0,34,3,12,27907.9059552825,No,136438.588762998,Yes,M,<High School,Clerical,31.8353376264855,Private,1500,1,Minivan,yes,0,0,No,1,6,Highly Urban/ Urban
2201,0,0,0,58,0,14,36926.8620790237,No,0,z_No,M,z_High School,Clerical,29.0150704077313,Commercial,30410,7,Panel Truck,yes,0,0,No,0,8,z_Highly Rural/ Rural
2205,0,0,0,38,3,5,30591.7040945583,No,160255.711323796,Yes,z_F,z_High School,z_Blue Collar,25.7198993096442,Commercial,14660,10,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
2207,0,0,0,44,0,13,23275.872377655,No,109877.170609855,Yes,z_F,z_High School,Clerical,17.5909024412136,Commercial,16000,6,Pickup,no,0,0,No,1,1,z_Highly Rural/ Rural
2208,0,0,0,49,0,12,64446.2002441997,No,235164.26284861,Yes,M,Bachelors,Professional,19.2580894005485,Private,14690,1,Minivan,yes,0,0,No,1, ,z_Highly Rural/ Rural
2209,1,3044,1,42,1,11,4480.29158984709,Yes,0,z_No,z_F,z_High School,Home Maker,50.4812578707377,Private,1950,1,z_SUV,no,30089,1,Yes,4,1,Highly Urban/ Urban
2210,0,0,0,39,1,0,0,No,0,Yes,z_F,<High School,Student,32.37614873883,Private,9030,7,z_SUV,no,0,0,Yes,1,1,z_Highly Rural/ Rural
2211,0,0,0,46,0,14,31833.7760932371,No,0,z_No,z_F,<High School,Clerical,67.6308786094685,Private,28190,6,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
2212,0,0,0,50,0,13,26136.592916498,No,121970.47265183,Yes,z_F,z_High School,Clerical,30.7812264032334,Commercial,23980,4,Pickup,no,0,0,No,2,10,z_Highly Rural/ Rural
2213,0,0,0,32,1,0,0,No,0,Yes,z_F,z_High School,Student,44.0059441731119,Private,9830,9,z_SUV,no,7644,2,No,7,9,Highly Urban/ Urban
2214,0,0,0,43,0,0,0,No,0,Yes,M,<High School,Student,24.629158707351,Private,11750,6,Minivan,yes,4520,1,No,0,1,Highly Urban/ Urban
2215,0,0,0,48,0,12,92972.1117938178,No,0,z_No,z_F,Bachelors,Manager,25.9211800592655,Private,28830,4,z_SUV,no,0,0,No,0,5,Highly Urban/ Urban
2216,1,4147,0,54,0,13,33790.7267598087,No,171274.793076605,Yes,M,<High School,Clerical,63.1897870329312,Private,9730,1,Pickup,yes,41917,2,Yes,5,1,Highly Urban/ Urban
2217,0,0,0,49,0,7,87960.7541117896,No,275722.860363153,Yes,z_F,PhD,Lawyer,30.4153806205838,Private,20150,13,z_SUV,no,0,0,No,4,10,Highly Urban/ Urban
2220,0,0,0,46,0,0,0,No,0,Yes,M,z_High School,Student,15.250002767604,Commercial,32280,4,Panel Truck,yes,0,0,No,2, ,z_Highly Rural/ Rural
2222,1,6123,0,41,0, ,16108.2256357434,No,0,z_No,z_F,Bachelors,Student,34.2434875806165,Commercial,25010,6,z_SUV,no,39315,1,Yes,0,9,Highly Urban/ Urban
2223,0,0,0,50,0,14,15989.1594760846,No,117037.521680911,Yes,M,<High School,Clerical,21.8051168507859,Private,20000,14,Van,no,0,0,Yes,0,5,Highly Urban/ Urban
2224,1,3925,0,43,0,12,77104.2409987673,No,0,z_No,z_F,Masters,Manager,32.629024904238,Private,27330,6,Sports Car,no,0,0,No,0,14,Highly Urban/ Urban
2225,0,0,0,44,0,12,100045.977730453,No,238931.19480122,Yes,z_F,<High School,z_Blue Collar,38.2068262177023,Commercial,24300,1,Pickup,no,0,0,No,1,6,z_Highly Rural/ Rural
2227,0,0,0,51,0,12,113157.747548206,No,333902.8577099,Yes,M,Masters, ,17.9284805859158,Commercial,30690,1,Panel Truck,no,3601,4,No,4,15,Highly Urban/ Urban
2229,1,4373,0,57,0,12,100768.913214367,No,0,z_No,z_F,Bachelors,Professional,31.20167062758,Private,11580,6,z_SUV,no,6712,1,No,4,12,Highly Urban/ Urban
2230,0,0,0,49,0,10,122192.095319238,No,337258.534901316,z_No,M,Masters, ,31.7987248310209,Commercial,33960,1,Panel Truck,no,0,0,No,0, ,Highly Urban/ Urban
2231,0,0,0,42,0,12,15307.4181202381,No,123562.338053175,Yes,M,z_High School,Clerical,53.2714179426713,Private,10880,1,Pickup,yes,0,0,No,2,8,z_Highly Rural/ Rural
2233,0,0,0,50,0,6,50620.5901672816,No,199107.502605906,Yes,z_F,z_High School,Professional,32.1283730982452,Private,15860,10,z_SUV,no,0,0,No,3, ,Highly Urban/ Urban
2234,1,706,0,39,1,13,77888.7197313606,No,217052.85693438,Yes,z_F,Bachelors,z_Blue Collar,43.8070692890936,Commercial,9290,6,z_SUV,no,0,0,No,0,10,Highly Urban/ Urban
2235,0,0,0,53,0,7,55868.8930911355,No,0,z_No,M,Masters,Lawyer,10.2555783690238,Private,22920,1,Minivan,no,0,0,No,0,13,Highly Urban/ Urban
2237,1,16798.0626036559,0,42,0,12,31092.8995267132,No,159141.441604747,Yes,z_F,<High School,Clerical,9.36192984753732,Private,13550,10,Sports Car,no,5029,3,No,2,5,Highly Urban/ Urban
2238,0,0,0,47,0,6,64549.4601095108,No,222736.621717875,z_No,M,Bachelors,Manager,50.533759629456,Private,14780,6,Minivan,no,3457,1,No,3,10,Highly Urban/ Urban
2239,0,0,0,63,0,13,65962.2551957314,No,244144.380017901,Yes,z_F,Masters,Manager,12.263877239331,Private,14400,8,Sports Car,no,3694,2,No,0,12,Highly Urban/ Urban
2240,0,0,1,45,1,10,19801.5612501636,Yes, ,z_No,M,<High School,Clerical,41.6664870970785,Private,3480,1,Minivan,no,0,0,No,1,1,z_Highly Rural/ Rural
2242,1,5641,4,45,5,0,0,Yes,0,z_No,z_F,<High School,Student,38.3862180069254,Private,7920,6,Sports Car,no,5288,2,No,3, ,z_Highly Rural/ Rural
2243,0,0,0,48,0,10,90173.642010129,No,0,z_No,M,Masters, ,52.1848796152049,Commercial,28090,3,Panel Truck,yes,4436,2,No,3,16,Highly Urban/ Urban
2244,0,0,0,46,0,9,98346.1793991158,No,296257.402975611,Yes,M,Masters,Lawyer,16.2774105887238,Private,17980,4,Van,no,0,0,No,1,27,Highly Urban/ Urban
2246,1,1338,0,41,0,13,39644.7054922255,No,150503.207565723,Yes,z_F,z_High School,Clerical,47.5327928401087,Private,20800,14,Sports Car,no,0,0,No,0,5,Highly Urban/ Urban
2247,0,0,0,46,0,12,78804.005850354,No,270733.634499795,Yes,z_F,z_High School,z_Blue Collar,53.5676280439591,Commercial,9380,12,Sports Car,no,7428,3,No,0,1,Highly Urban/ Urban
2248,0,0,0,49,0,8,57774.8547562824,No,176757.573126325,Yes,z_F,z_High School,Manager,35.0962225758136,Private,15680,7,Minivan,no,0,0,No,0,10,Highly Urban/ Urban
2249,0,0,0,51,0,14,117742.216710356,No,305361.165396141,Yes,M,Masters,Lawyer,22.8741680652077,Private,1500,10,Minivan,yes,0,0,No,0,16,Highly Urban/ Urban
2250,0,0,0,47,0,10,161627.355458625,No,408755.422807178,z_No,z_F,PhD,Doctor,22.822371614335,Private,11240,1,z_SUV,no,0,0,No,1,21,Highly Urban/ Urban
2252,0,0,0,35,2,9,103801.517483093,No,319589.699294295,Yes,z_F,PhD,Manager,29.8765159969038,Private,34270,6,Pickup,no,0,0,No,0,17,Highly Urban/ Urban
2253,0,0,0,34,4,14,34135.4275778819,Yes,0,z_No,z_F,z_High School,Manager,40.0308585362023,Private,21670,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
2254,0,0,0,45,0,11,67094.5568477608,No,259294.79864328,z_No,M,z_High School,z_Blue Collar,56.260963671733,Commercial,19420,1,Van,no,0,0,No,0,8,z_Highly Rural/ Rural
2257,1,2907.27364151767,1,60,2,15,151225.363413188,No,416062.272219165,Yes,z_F,PhD,Doctor,45.9566928814776,Private,10560,6,Sports Car,no,0,0,No,3,13,Highly Urban/ Urban
2258,0,0,0,48,0,14,115125.722577816,No,271838.536917983,Yes,z_F,Masters,Lawyer,38.2151606994912,Private,30600,7,z_SUV,no,0,0,Yes,0,19,Highly Urban/ Urban
2260,1,2934,0,35,3,12,20985.7671003999,Yes,0,z_No,z_F,z_High School,z_Blue Collar,37.0144739459573,Commercial,7100,11,Minivan,no,0,0,No,2, ,Highly Urban/ Urban
2261,0,0,0,52,0,9,138003.946411721,No,343853.162318341,z_No,z_F,PhD,Manager,9.81461746440008,Private,19630,10,Pickup,no,0,0,No,0,10,Highly Urban/ Urban
2262,0,0,0,45,1,12,38638.8332050091,No,151007.031674203,Yes,z_F,z_High School,Clerical,97.7877778683062,Private,9500,1,Minivan,yes,0,0,No,0,9,z_Highly Rural/ Rural
2265,0,0,0,33,1,14,52682.1834042652,Yes,185164.233309496,z_No,z_F,Bachelors,Professional,23.0026154986199,Private,10070,4,Minivan,no,4676,1,No,4, ,Highly Urban/ Urban
2266,0,0,0,49,0,13,17804.1279192498,No,130332.593764018,Yes,M,<High School,Clerical,20.4947789021961,Commercial,33990,4,Panel Truck,no,0,0,No,0,6,z_Highly Rural/ Rural
2268,0,0,0,56,0,9,178807.147533723,No,451332.091865245,Yes,z_F,Bachelors,Professional,53.2609283757786,Private,33140,1,Van,no,2925,2,No,0,5,Highly Urban/ Urban
2269,0,0,0,50,0,9,76515.262196278,No, ,Yes,z_F,Masters,Lawyer,24.515460099522,Private,31330,15,Minivan,no,0,0,No,0,16,Highly Urban/ Urban
2270,0,0,0,53,0,12,168488.941086696,No,422060.729318615,Yes,M,PhD, ,31.7734930624108,Commercial,29020,4,Panel Truck,no,0,0,No,0,9,Highly Urban/ Urban
2271,0,0,0,34,1,10,6361.81882546903,Yes,0,z_No,z_F,<High School,Clerical,36.3902983784838,Private,18830,1,z_SUV,no,0,0,No,1,1,z_Highly Rural/ Rural
2272,0,0,0,41,2,0,0,Yes, ,z_No,z_F,<High School,Student,49.8792141872726,Private,6200,13,Sports Car,no,0,0,No,0,5,z_Highly Rural/ Rural
2274,0,0,0,52,0,14,174389.119044365,No,447758.115958715,Yes,M,PhD, ,27.9608023566755,Commercial,26740,7,Panel Truck,yes,3432,3,No,0,15,Highly Urban/ Urban
2275,0,0,0,36,1,12,19216.6096630454,No,120635.328203503,Yes,z_F,<High School,Clerical,24.586496857436,Private,8220,1,Sports Car,no,7194,2,No,5,3,z_Highly Rural/ Rural
2276,1,2166,0,60,2,15,3004.91361614297,Yes,125808.903441586,z_No,z_F,z_High School,Home Maker,5,Private,11640,17,z_SUV,no,0,0,Yes,0,1,Highly Urban/ Urban
2278,0,0,0,60,0,12,19795.7486172009,No,153061.35619436,z_No,z_F,Bachelors,Clerical,19.4259017361611,Private,21560,13,Pickup,no,3437,2,No,5,1,Highly Urban/ Urban
2279,1,707,0,30,1,0,0,Yes,0,z_No,M,Bachelors,Student,46.0052894239774,Commercial,4500,4,Pickup,no,0,0,Yes,1,5,Highly Urban/ Urban
2280,0,0,0,43,0,12,80745.8698178366,No,0,z_No,M,Bachelors,Manager,11.1909172596849,Private,16760,8,Minivan,yes,0,0,No,1,1,Highly Urban/ Urban
2281,1,774.307773796733,0,50,0,13,68194.0509322608,No,0,z_No,z_F,Bachelors,z_Blue Collar,69.0916729622983,Commercial,13920,4,z_SUV,no,3800,2,No,2,10,Highly Urban/ Urban
2282,1,6332,1,37,3,13,91450.4591090957,No,284852.890960725,Yes,M,Bachelors,Professional,47.3025889864224,Private,10650,1,Pickup,yes,27439,2,Yes,3,1,Highly Urban/ Urban
2283,0,0,0,61,0,10,145194.377736243,No,390342.260603801,z_No,M,Bachelors,Manager,12.4329780708544,Private,10960,13,Sports Car,no,0,0,No,3,9,Highly Urban/ Urban
2284,0,0,1,43,3,18, ,No,0,Yes,z_F,Bachelors,Student,16.218658780889,Commercial,10900,13,z_SUV,no,0,0,Yes,2,9,Highly Urban/ Urban
2285,0,0,0,33,1,3,16501.5827913176,Yes,0,z_No,z_F,<High School,Clerical,30.7178743658491,Private,1500,6,z_SUV,no,24512,2,No,2,7,z_Highly Rural/ Rural
2286,1,3554,0,52,0,11,56582.2778202369,No,0,z_No,z_F,<High School,Clerical,47.1462925995571,Private,21460,13,z_SUV,no,1606,2,No,1,6,Highly Urban/ Urban
2288,0,0,0,41,1,11,36445.0967304636,No,190650.496319498,Yes,M,z_High School,Clerical,23.1591823202932,Private,9200,6,Minivan,yes,8518,3,No,1,1,Highly Urban/ Urban
2290,1,3388,1,41,1,11,63989.3094768441,No,212476.592796545,Yes,z_F,Bachelors,Manager,41.002965626268,Private,5600,1,z_SUV,no,37404,2,No,0,11,Highly Urban/ Urban
2292,0,0,0,24,0,8,57503.5287224237,No,147968.736102835,Yes,M,Bachelors,Professional,22.0379491204622,Private,17720,4,Van,yes,0,0,Yes,1,8,Highly Urban/ Urban
2293,0,0,0,40,1,10,13719.4935113198,Yes,0,z_No,z_F,<High School,Clerical,32.2359490180192,Private,21320,10,z_SUV,no,0,0,No,1,7,z_Highly Rural/ Rural
2294,1,5146,2,37,2,13,141969.426823464,Yes,0,z_No,z_F,PhD,Manager,50.4577048099827,Private,19400,3,z_SUV,no,0,0,No,3,16,Highly Urban/ Urban
2295,0,0,0,42,0,12,14005.8344694374,No,120835.67293858,Yes,z_F,z_High School,Home Maker,23.108565009579,Private,7760,13,Minivan,no,0,0,No,0,8,Highly Urban/ Urban
2297,0,0,0,48,0,13,34350.5489918747,No,0,z_No,z_F,z_High School,z_Blue Collar,28.8374302421087,Commercial,18090,1,Minivan,no,0,0,No,1,5,Highly Urban/ Urban
2298,0,0,0,39,1,0,0,No,0,Yes,z_F,Bachelors,Student,75.3066531887788,Private,11290,12,Minivan,no,0,0,No,2,7,Highly Urban/ Urban
2300,0,0,0,61,0,12,115439.568928855,No,0,z_No,M,Masters,Lawyer,10.7762965863448,Private,41250,4,Van,no,5650,2,No,3,15,Highly Urban/ Urban
2301,0,0,0,48,0,12,180128.042651617,No,437338.848987305,Yes,M,PhD, ,16.2376202911701,Commercial,32110,1,Panel Truck,no,0,0,No,0,15,Highly Urban/ Urban
2302,0,0,0,39,0,12,55246.0028966287,No,210895.953418417,z_No,M,Masters,Lawyer,9.02833718046029,Private,1500,1,Minivan,no,9011,1,No,7,6,Highly Urban/ Urban
2303,1,5349,0,51,0,14,175218.577474164,No,477999.39388392,Yes,z_F,Masters,Manager,21.6368992720605,Private,6600,8,z_SUV,no,0,0,No,0,15,Highly Urban/ Urban
2304,1,2532,0,36,2, ,51969.4598008907,No,221596.112847926,Yes,M,Bachelors,Clerical,55.4720249298748,Private,1500,16,Minivan,yes,3488,4,No,0,7,Highly Urban/ Urban
2305,1,45191.3039906155,0,59,0,10, ,No,0,Yes,z_F,z_High School,Student,33.9949961846104,Commercial,11600,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
2307,0,0,0,49,0,8,105594.385669519,No,301702.049389996,Yes,z_F,PhD,Doctor,16.9849264576604,Private,12920,13,z_SUV,no,0,0,No,3,1,Highly Urban/ Urban
2308,0,0,0,39,0,8,74547.8075635087,No,0,z_No,z_F,Bachelors,Professional,32.7653621796434,Private,18100,1,z_SUV,no,25130,2,No,2,10,Highly Urban/ Urban
2309,1,5667,0,53,1, ,31204.9702916507,No,170358.168029586,Yes,z_F,z_High School,Clerical,26.9775512409344,Private,12080,1,Sports Car,no,0,0,No,0,6,Highly Urban/ Urban
2310,0,0,0,48,0,12,42156.1779638059,No,0,z_No,M,<High School,Clerical,50.4878122029699,Private,11680,1,Minivan,no,0,0,No,0,8,z_Highly Rural/ Rural
2311,1,5836,0,36,0,0,0,No,0,z_No,z_F,<High School,Student,34.7919605503297,Commercial,13440,10,Pickup,no,5093,2,No,8,1,Highly Urban/ Urban
2312,1,3036,0,46,0,11,68126.0269039171,No,214584.013146695,Yes,z_F,Bachelors,Professional,51.8274209228726,Private,12910,1,z_SUV,no,0,0,Yes,3,6,Highly Urban/ Urban
2313,0,0,0,29,4,0,0,No,103206.829806474,Yes,z_F,<High School,Home Maker,43.8864935116748,Private,26670,9,Sports Car,no,0,0,No,4,1,z_Highly Rural/ Rural
2315,0,0,0,40,3,0,0,No,0,Yes,z_F,<High School,Student,29.6891902567058,Private,7890,3,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
2316,1,3110,0,26,3,0,0,No,50963.6839755924,Yes,z_F,Bachelors,Home Maker,41.6511692778794,Private,4100,1,z_SUV,no,2621,2,No,6,8,Highly Urban/ Urban
2319,0,0,1,55,2,15,127074.65589064,Yes,0,z_No,M,PhD,Doctor,41.142909482507,Private,19450,1,Minivan,no,7744,2,No,4,13,Highly Urban/ Urban
2320,0,0,0,44,4,15,27068.5042379373,No,134937.396846566,Yes,z_F,z_High School,Clerical,79.762486317863,Private,24910,6,Pickup,no,0,0,No,0,1,Highly Urban/ Urban
2322,0,0,2,36,3,13,8614.51794990946,No,72500.7659376591,Yes,z_F,z_High School,Home Maker,41.4824708430503,Private,20150,1,Minivan,no,0,0,No,0,6,z_Highly Rural/ Rural
2323,0,0,0,54,0,13, ,No, ,Yes,M,Masters, ,23.8998969054908,Commercial,7880,7,Pickup,no,5203,1,No,4,16,Highly Urban/ Urban
2325,0,0,0,41,3,15,126363.347746381,No,349883.559270024,Yes,M,PhD,Doctor,26.5409470511,Private,18240,13,Van,yes,0,0,No,0,8,Highly Urban/ Urban
2326,0,0,0,45,0,13,78432.2677649772,No,259621.638071698,Yes,z_F,Bachelors,Manager,24.7285586305651,Private,9590,4,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
2327,0,0,0,51,0,13,74501.2934698589,No,190591.949531043,Yes,z_F,Bachelors,Professional,45.8278460751192,Private,26020,13,Sports Car,no,9845,2,No,4,1,Highly Urban/ Urban
2328,0,0,2,43,2,14,6162.08777331039,No,50223.4211048485,Yes,z_F,z_High School,Home Maker,32.0876759483378,Private,14350,1,Minivan,no,13752,3,No,5,7,Highly Urban/ Urban
2329,0,0,0,44,0,0,0,No,0,Yes,z_F,z_High School,Student,76.6174374509612,Private,9770,13,z_SUV,no,0,0,No,0,7,z_Highly Rural/ Rural
2330,0,0,0,28,1,13,97231.1297470016,No,262856.304996867,Yes,z_F,Bachelors,z_Blue Collar,56.3729178334096,Commercial,22200,4,z_SUV,no,0,0,No,3,11,z_Highly Rural/ Rural
2331,0,0,0,61,0,11,61471.6242977389,No,227562.394361891,Yes,z_F,Masters,Lawyer,46.1155993725071,Private,17410,1,Sports Car,no,0,0,Yes,5,8,Highly Urban/ Urban
2332,0,0,2,41,3,10,90990.7697632402,No,310708.807482373,Yes,M,Bachelors,Professional,43.2788310983952,Private,5600,7,Pickup,yes,1421,2,No,4,1,Highly Urban/ Urban
2333,0,0,0,42,0,11,69779.6412606598,No,223783.956280794,Yes,z_F,Masters,Lawyer,31.6651475334639,Private,22350,6,z_SUV,no,5346,2,No,3,19,Highly Urban/ Urban
2334,1,5443,0,39,3,16,22626.2930036096,No,60717.6135729642,Yes,z_F,<High School,z_Blue Collar,46.4285984155894,Commercial,19950,1,Pickup,no,6937,1,No,7,7,Highly Urban/ Urban
2335,1,4847,1,43,1,8,199865.746942339,Yes,0,z_No,M,Masters, ,33.3914297512554,Commercial,25510,6,Panel Truck,yes,0,0,No,1,15,Highly Urban/ Urban
2336,0,0,0,34,2,14,51496.8382146498,No,219048.518337375,Yes,z_F,Bachelors,Clerical,50.9544084802486,Private,15230,7,z_SUV,no,0,0,No,0,14,z_Highly Rural/ Rural
2337,0,0,0,41,0, ,103461.242170929,No,305052.440788466,Yes,M,Masters,Professional,34.8408093206287,Private,15950,6,Minivan,yes,3443,2,No,3,20,Highly Urban/ Urban
2338,0,0,0,53,0,14,64915.371513989,No,186151.003053836,Yes,M,Bachelors,Manager,41.0510852498429,Private,21920,1,Van,yes,0,0,No,0, ,Highly Urban/ Urban
2339,0,0,0,32,1,11,8823.77111072858,No,91593.4075525884,Yes,z_F,<High School,Professional,59.9368217678151,Private,9280,1,z_SUV,no,4409,2,No,1,8,Highly Urban/ Urban
2341,0,0,0,51,0,11,91605.0554042043,No,276146.679828677,Yes,M,PhD,Doctor,57.7951229075258,Private,15910,1,Minivan,yes,2645,2,No,3,10,Highly Urban/ Urban
2342,0,0,0,54,0,11,177841.653899691,No,0,z_No,z_F,Masters,Lawyer,50.4852060287877,Private,7000,10,Sports Car,no,47939,3,No,1,24,Highly Urban/ Urban
2344,0,0,0,46,0,14,23571.3289021005,No,145065.641732102,Yes,M,z_High School,Clerical,44.8865797449792,Commercial,11890,4,Pickup,yes,0,0,No,0,1,z_Highly Rural/ Rural
2345,0,0,0,44,0,12,5069.22306438362,No,0,z_No,z_F,<High School,Student,36.5964567763169,Private,8060,7,z_SUV,no,1022,1,No,1,1,Highly Urban/ Urban
2346,0,0,0,48,0,14,20792.2359032608,No,165129.589665527,Yes,z_F,Bachelors,Home Maker,49.021290736723,Private,13930,3,z_SUV,no,0,0,No,0,6,z_Highly Rural/ Rural
2347,0,0,0,52,0,10,104067.432266531,No,319855.21413146,Yes,z_F,PhD,Manager,33.4706747491245,Private,35760,6,z_SUV,no,0,0,No,0,18,Highly Urban/ Urban
2348,1,7485,1,34,4,14,58991.1964670194,No,162308.633485124,Yes,M,z_High School,z_Blue Collar,60.6830359653143,Commercial,5490,13,Pickup,no,1423,1,No,0, ,Highly Urban/ Urban
2350,0,0,0,53,0,0,0,No,0,z_No,z_F,Masters,Home Maker,6.52235276998417,Private,20530,7,Minivan,no,0,0,No,3,17,Highly Urban/ Urban
2351,0,0,0,39,0,0,0,No, ,Yes,z_F,z_High School,Student,35.0762176788263,Private,9460,8,z_SUV,no,0,0,Yes,0,1,Highly Urban/ Urban
2354,1,3034,0,35,2,8,47796.6157812667,Yes,0,z_No,z_F,Bachelors,Professional,23.397510504754,Private,1500,6,z_SUV,no,41303,2,Yes,4,6,Highly Urban/ Urban
2355,1,4271.39854859278,0,43,0, ,49020.7471421031,No,177126.833168149,z_No,M,z_High School,Professional,48.6315495422008,Commercial,10700,1,Pickup,no,0,0,Yes,2,1,Highly Urban/ Urban
2356,0,0,0,50,0,7,125582.914499981,No, ,Yes,M,Masters,Professional,41.2729305841463,Commercial,20730,1,Van,no,1358,1,No,5,13,Highly Urban/ Urban
2357,0,0,0,38,0,7,46946.5650986242,No,150812.272390692,Yes,z_F,Bachelors,Home Maker,13.3274882105417,Private,13990,1,z_SUV,no,0,0,No,0, ,z_Highly Rural/ Rural
2358,0,0,0,39,2,12,24790.4153165307,Yes,0,z_No,z_F,z_High School,Clerical,29.4445833711993,Private,8310,7,z_SUV,no,0,0,No,0,1,z_Highly Rural/ Rural
2359,0,0,0,46,0,8, ,No, ,z_No,z_F,Masters,Lawyer,17.4021775367628,Private,18220,6,z_SUV,no,0,0,No,0, ,Highly Urban/ Urban
2360,0,0,0,43,0,11,106059.170456962,No,267151.967810323,Yes,z_F,z_High School,Manager,44.3345881114291,Private,5800,13,z_SUV,no,0,0,No,4,1,Highly Urban/ Urban
2361,0,0,0,47,0,8, ,No,119707.893270705,z_No,M,<High School,Clerical,17.5937298696499,Private,9570,1,Minivan,no,0,0,No,2,3,Highly Urban/ Urban
2362,0,0,0,52,0,9,30775.8459707563,No,200352.825053004,Yes,M,<High School,Clerical,24.7129648259052,Commercial,25530,10,Panel Truck,yes,1086,2,No,0,5,Highly Urban/ Urban
2363,1,6685.40340763762,1,53,1,11,12824.2365824905,Yes,0,z_No,z_F,z_High School,Student,48.1212237260361,Commercial,16720,6,z_SUV,no,9851,3,No,8,10,Highly Urban/ Urban
2364,0,0,1,39,1,13,78476.548046547,No, ,Yes,z_F,Masters,Manager,25.9345570964399,Private,10170,3,z_SUV,no,3927,1,No,1,11,Highly Urban/ Urban
